time_s,theta_roll,omega_roll,control_roll,disturbance_roll,theta_pitch,omega_pitch,control_pitch,disturbance_pitch,theta_yaw,omega_yaw,control_yaw,disturbance_yaw
11667.0,0.0005152045997622178,5.633786302487407e-07,-2.6886584738436433e-05,2.7367229065720813e-05,0.0005006643261097124,-4.133048060263771e-07,-1.8712003611456352e-05,1.7520471040955276e-05,2.37750461927456e-05,-1.6294557202957379e-06,3.39266211588262e-06,-5.494758171046829e-06
11669.0,0.0005163305497323742,5.617476258051431e-07,-2.6938063117603004e-05,2.664342536777326e-05,0.0004997942525563352,-4.428036002853538e-07,-1.8584776213635072e-05,1.7032408290148603e-05,2.04468448871537e-05,-1.674616144940187e-06,3.616454673861706e-06,-5.297555816758426e-06
11671.0,0.0005174338913372827,5.472835329369556e-07,-2.6939230391126977e-05,2.5886768993103034e-05,0.000498858814873385,-4.761509812125067e-07,-1.8441568192141095e-05,1.6756316740187088e-05,1.7051316476423653e-05,-1.703913484495311e-06,3.8032233786920456e-06,-4.7861376029326625e-06
11673.0,0.0005184914143572386,5.21785927152048e-07,-2.6895294317894897e-05,2.522213688529484e-05,0.0004978576712645913,-5.08423209866398e-07,-1.8297977958864112e-05,1.6728879508575506e-05,1.3627940661323482e-05,-1.7124257829977636e-06,3.938615503954997e-06,-4.056273999176549e-06
11675.0,0.0005194861749941106,4.887967660817506e-07,-2.6818538707681572e-05,2.475983325891454e-05,0.0004968001744523661,-5.348641856045766e-07,-1.8169643831062857e-05,1.6947502109220537e-05,1.0221190656111259e-05,-1.6985099732163566e-06,4.0163637720337285e-06,-3.2381983215700705e-06
11677.0,0.0005204101718069545,4.530412031311723e-07,-2.6726384163131e-05,2.4578175068648144e-05,0.0004957038992943533,-5.516363321795085e-07,-1.8069775247120425e-05,1.7370722221056456e-05,6.873517036423852e-06,-1.6640613035043268e-06,4.039275710001679e-06,-2.476045647479577e-06
11679.0,0.0005212656098675176,4.196816004066238e-07,-2.663863783441797e-05,2.471112756414698e-05,0.0004945918723005318,-5.564264691277316e-07,-1.8007067445077994e-05,1.792475583273796e-05,3.6186508720451044e-06,-1.6142141424083993e-06,4.01879029803107e-06,-1.9050969493303975e-06
11681.0,0.000522064553553327,3.9350251596801073e-07,-2.6574366388478273e-05,2.5142942004603788e-05,0.0004934889404492803,-5.488110146469842e-07,-1.798432883142589e-05,1.8515146271084547e-05,4.762834325514459e-07,-1.5565313974484837e-06,3.973171898609034e-06,-1.6304210982711257e-06
11683.0,0.0005228270227944142,3.781553378985904e-07,-2.654888589279021e-05,2.5810642120006352e-05,0.0004924178525864454,-5.303228625358224e-07,-1.799803776697833e-05,1.904167698781846e-05,-2.551037576598918e-06,-1.4998105209580864e-06,3.92462661509818e-06,-1.7102866957204736e-06
11685.0,0.0005235778333345195,3.7558182101030365e-07,-2.6571343825200126e-05,2.661396676150776e-05,0.0004913956720676756,-5.042093746736703e-07,-1.8038898698810844e-05,1.9414193703470328e-05,-5.4783052316185625e-06,-1.4526946085349888e-06,3.895796326202304e-06,-2.1469626398559683e-06
