time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,altitude_km,speed_mps,density_kgm3,sunlight,q_norm,q0,q1,q2,q3,wx_rads,wy_rads,wz_rads,control_x_Nm,control_y_Nm,control_z_Nm,disturbance_x_Nm,disturbance_y_Nm,disturbance_z_Nm
6580.0,3603907.653809537,3614484.676453247,4582719.01275915,-6482.692830315992,2520.041581666123,3127.4559094949655,481.4521570418775,7626.066900532124,9.316649277698837e-13,1.0,0.9999999741328902,0.9999998697097314,-0.00017358004312006595,-0.00012349189030291764,0.00040430931599639474,-7.818956668299254e-07,1.633584588671511e-07,-4.1712642044889936e-07,7.87921143001293e-06,5.7080297283582455e-06,-1.411894810788389e-05,-7.866621763678394e-06,-5.6318807425968195e-06,1.3969934323748245e-05
6590.0,3538859.1397658037,3639460.8628897094,4613708.492086327,-6526.717558317068,2475.329373862963,3070.6111087858035,481.56455572087225,7625.8737320094615,9.300255910135592e-13,1.0,0.9999999741328351,0.9999998700155246,-0.00017747798893332173,-0.00012263164200800175,0.00040211646159456823,-7.772197829342009e-07,1.81431360446989e-07,-4.595518464243728e-07,8.029538535667545e-06,5.642401802482841e-06,-1.3995568578986118e-05,-8.015964479028864e-06,-5.566801190892569e-06,1.3847586986247967e-05
6600.0,3473374.4333208553,3663988.41185612,4644127.638722693,-6569.9337416040635,2430.316169877067,3013.3919875875945,481.67805297416356,7625.680122158981,9.283731584824504e-13,1.0,0.9999999741327769,0.9999998704004391,-0.00018135168598240988,-0.00012168139331552787,0.00039971222648558163,-7.72193833966224e-07,1.9936887084436556e-07,-5.016716320928718e-07,8.178476614253901e-06,5.572635955339782e-06,-1.3864899110658147e-05,-8.163925754634224e-06,-5.497623832597529e-06,1.3718023470513064e-05
6610.0,3407461.6459935266,3688064.341477548,4673972.745259702,-6612.336203671915,2385.0075713114193,2955.80568488177,481.7926409821613,7625.486111218254,9.267078238225065e-13,1.0,0.9999999741327155,0.999999870862586,-0.00018519939079969,-0.00012064184498607017,0.0003970981915825844,-7.668206192844148e-07,2.1716147538269404e-07,-5.434647889082685e-07,8.325959274825907e-06,5.498778635546661e-06,-1.3727018599691316e-05,-8.31043967949527e-06,-5.42439479596868e-06,1.358132208974409e-05
6620.0,3341128.940553297,3711685.7260646364,4703240.175889664,-6653.919870640988,2339.409213501943,2897.8593816348916,481.90831170001906,7625.291739262054,9.250297836505468e-13,1.0,0.9999999741326504,0.9999998713999142,-0.00018901937433700666,-0.00011951374514097421,0.00039427604232229285,-7.611031088033469e-07,2.347997380298895e-07,-5.849105005304585e-07,8.471920907398259e-06,5.42087845924959e-06,-1.3582009525541647e-05,-8.45544111957007e-06,-5.347162356361667e-06,1.3437564702399491e-05
6630.0,3274384.5299914437,3734849.696447294,4731926.366820936,-6694.679771757395,2293.5267647920027,2839.5602998728345,482.0250568551384,7625.097046189565,9.233392375385002e-13,1.0,0.9999999741325818,0.9999998720102159,-0.00019280992281489688,-0.0001182978888569525,0.0003912475677772902,-7.550444415119258e-07,2.5227430624620376e-07,-6.259881334685035e-07,8.61629671514272e-06,5.3389861841355396e-06,-1.342995790722526e-05,-8.598865749716428e-06,-5.265976910405467e-06,1.3286836669374754e-05
6640.0,3207236.6764873755,3757553.4403010774,4760027.826683828,-6734.611039879485,2247.365925805305,2780.9157017530106,482.14286794479193,7624.902071711729,9.216363879951755e-13,1.0,0.9999999741325095,0.9999998726911324,-0.00019656933856416128,-0.0001169951177365519,0.0003880146597153191,-7.48647923901581e-07,2.69575915792241e-07,-6.666772476394754e-07,8.759022746170975e-06,5.253154682340747e-06,-1.3270953258392927e-05,-8.740650085223482e-06,-5.180890949086036e-06,1.3129226809381893e-05
6650.0,3139693.690370177,3779794.202466289,4787541.13692717,-6773.708911950616,2200.932428717202,2721.932888634658,482.26173623377457,7624.706855338716,9.199214404469137e-13,1.0,0.9999999741324334,0.9999998734401597,-0.00020029594085935675,-0.00011560631945469863,0.00038457931160599976,-7.419170283052521e-07,2.866953954940271e-07,-7.069576068369527e-07,8.90003592488783e-06,5.163438912268127e-06,-1.3105088540606773e-05,-8.88073151291446e-06,-5.091959029747912e-06,1.29648273525522e-05
6660.0,3071763.9290754725,3801569.285259787,4814462.952205615,-6811.968729458316,2154.2320365245046,2662.6192001473128,482.3816527521517,7624.511436367552,9.181946032161582e-13,1.0,0.9999999741323531,0.9999998742546545,-0.00020398806674376682,-0.00011413242728153997,0.0003809436175754393,-7.34855391147605e-07,3.036236719632741e-07,-7.468091891032443e-07,9.03927408289701e-06,5.069895889327441e-06,-1.293246011484211e-05,-9.019048321804694e-06,-4.999237747030829e-06,1.279373389228433e-05
6670.0,3003455.7960977126,3822876.0487794955,4840790.000757612,-6849.385938879884,2107.27054231384,2602.9820132575346,482.5026082930751,7624.315853869865,9.164560874983853e-13,1.0,0.9999999741322693,0.9999998751318417,-0.00020764407184541085,-0.0001125744195818139,0.0003771097713092265,-7.274668111074636e-07,3.2035177426950255e-07,-7.862121969995057e-07,9.17667598944366e-06,4.972584655613499e-06,-1.2753167691237406e-05,-9.155539733298004e-06,-4.902785702754489e-06,1.2616045335361908e-05
